ID_sequencing,ID_Environmental,Longitude,Latitude,Continent,Clay_silt,Soil_C,Soil_N,Soil_P,Soil_C_N_ratio,pH,Aridity_Index,MDR,MAXT,MINT,PSEA,Forest,Grassland,Shrubland,UV_Light,NPP2003_2015,Ecosystem_type,Low_pH_cluster,Drylands_cluster,High_pH_cluster,Dry_forest_cluster,Low_productivity_cluster
1,1,-54.683,-26.733,South_america,82,1.771,0.248,559.298,7.144,5.9,1.008,13,31.7,8.6,17,1,0,0,10.525,0.819972904,Temperate forests,-0.203028813,-0.692026887,-0.45704646,-0.519430642,-0.698867059
2,2,-148.250,64.800,North_America,80,3.217,0.156,911.506,20.597,5.12,0.549,11,21.6,-27,66,1,0,0,2.322,0.380480105,Boreal,0.279472989,-0.740383994,-0.730829038,-0.323655312,-0.730370296
3,3,-72.190,42.530,North_America,42,34.772,1.398,1269.108,24.881,4.04,1.228,12.2,26.3,-12.7,7,1,0,0,5.407,0.658017391,Cold forests,0.288032293,-0.765860883,-0.721771869,-0.671150579,-0.730370296
4,4,-96.570,39.090,North_America,35.8,5.931,0.585,763.273,10.142,8.13,0.756,12.7,32.3,-9.1,51,1,0,0,6.41,0.475787455,Temperate forests,-0.38762112,-0.586795524,0.216582823,-0.49210047,-0.686479648
5,5,-122.260,44.210,North_America,28.2,9.713,0.895,1702.348,10.85,5.46,1.764,13.1,27.6,-2,62,0,1,0,6.029,0.779492353,Grasslands,0.55337768,-0.703946517,-0.646650519,-0.164321411,-0.375899884
6,6,-155.260,19.810,North_America,4.6,10.647,0.65,2457.207,16.39,5.79,1.812,8.9,21.8,9,39,0,1,0,10.902,0.701963558,Grasslands,0.24686514,-0.715487294,-0.674332622,-0.49142852,-0.727090333
7,7,-105.370,39.990,North_America,53.2,19.257,0.992,926.275,19.405,5.16,0.428,16.3,26,-11.6,40,1,0,0,7.969,0.478159513,Cold forests,0.652452693,-0.728130633,-0.709505753,-0.422210943,-0.589405142
8,8,-83.500,35.000,North_America,6.2,4.374,0.223,434.225,19.587,5.81,1.86,12.2,25.1,-5.8,9,1,0,0,7.451,0.701130564,Temperate forests,0.215309134,-0.765860883,-0.742009285,-0.529157776,-0.730370296
9,9,-155.260,19.810,North_America,26.6,21.215,1.039,875.79,20.428,4.38,1.812,8.9,21.8,9,39,1,0,0,10.902,0.701963558,Temperate forests,0.253523729,-0.765860883,-0.712346617,-0.547169221,-0.730370296
10,10,-72.190,42.530,North_America,34.8,2.75,0.223,715.831,12.34,7.42,1.228,12.2,26.3,-12.7,7,0,1,0,5.407,0.658017391,Cold grasslands,-0.233004876,-0.569936753,-0.162243061,-0.53519402,-0.614632761
11,11,-83.500,35.000,North_America,36.2,5.308,0.31,530.809,17.125,4.63,1.86,12.2,25.1,-5.8,9,0,1,0,7.451,0.701130564,Grasslands,0.417952091,-0.70685037,-0.705552378,-0.451223572,-0.681367081
12,12,-71.750,43.940,North_America,20.6,3.729,0.481,705.448,7.757,5,1.386,12.1,24.7,-15.4,13,0,1,0,5.218,0.636037907,Cold grasslands,0.482543185,-0.755008418,-0.715338746,-0.608626361,-0.694516167
13,13,-71.750,43.940,North_America,6.8,6.458,1.474,921.441,4.383,4.18,1.386,12.1,24.7,0,13,1,0,0,5.218,0.636037907,Cold forests,0.135670948,-0.763692061,-0.724420047,-0.652336551,-0.730370296
14,14,-85.400,42.400,North_America,61.8,1.642,0.342,695.064,4.803,6.31,0.92,11.3,28.8,-9.8,24,0,1,0,5.542,0.511271035,Cold grasslands,0.193618005,-0.564107142,-0.505443071,-0.432542084,-0.675436301
15,15,-147.840,64.850,North_America,76,2.087,0.127,644.132,16.422,5.56,0.546,11.1,22.5,-27.1,53,0,1,0,2.369,0.321424953,Boreal,0.236686927,-0.763692061,-0.70289726,-0.508307385,-0.318713877
16,16,-85.400,42.400,North_America,40.8,1.953,0.179,511.743,10.903,5.84,0.92,11.3,28.8,-9.8,24,1,0,0,5.542,0.511271035,Cold forests,0.430650987,-0.685916707,-0.556017248,-0.479031762,-0.681950345
17,17,-105.370,39.990,North_America,38,4.89,0.442,731.496,11.074,5.21,0.428,16.3,26,-11.6,40,0,1,0,7.969,0.478159513,Cold grasslands,0.154622278,-0.73252409,-0.7350661,-0.611196286,-0.589630529
18,18,-65.800,18.300,North_America,73.4,3.9,0.382,473.79,10.207,5.13,2.184,8.7,26.4,14,25,0,1,0,11.258,0.717459314,Grasslands,-0.182725124,-0.737257918,-0.702450569,-0.620481722,-0.730370296
19,19,-96.570,39.090,North_America,81.6,2.966,0.312,495.541,9.5,7.13,0.756,12.7,32.3,-9.1,51,0,1,0,6.41,0.475787455,Grasslands,-0.123481577,-0.499323302,-0.054279918,-0.385091454,-0.376252456
20,20,-93.200,45.400,North_America,29,0.897,0.065,373.178,13.708,4.87,0.835,11.6,28.1,-17.5,51,1,0,0,5.041,0.443307162,Cold forests,0.429636941,-0.732789235,-0.711057327,-0.593072394,-0.717722597
21,21,-93.200,45.400,North_America,8.6,0.607,0.06,318.485,10.102,4.86,0.835,11.6,28.1,-17.5,51,0,1,0,5.041,0.443307162,Cold grasslands,0.398666895,-0.695490679,-0.581095525,0.207417503,-0.454500092
