ID_Environmental,OTU_10,OTU_24,OTU_17316,OTU_124,OTU_196,OTU_111,OTU_16,OTU_20,OTU_198,OTU_146,OTU_28942,OTU_161,OTU_115,OTU_5864,OTU_3293,OTU_62,OTU_777,OTU_288,OTU_352,OTU_937,OTU_6567,OTU_687,OTU_68,OTU_131,OTU_102,OTU_81,OTU_371,OTU_734,OTU_709,OTU_45,OTU_74,OTU_60,OTU_794,OTU_8182,OTU_5974,OTU_109,OTU_443,OTU_104,OTU_41,OTU_338,OTU_123,OTU_385,OTU_35370,OTU_11839,OTU_56,OTU_700,OTU_202,OTU_531,OTU_3018,OTU_310,OTU_1110,OTU_130,OTU_3921,OTU_9326,OTU_1534,OTU_466,OTU_1141,OTU_22,OTU_255,OTU_249,OTU_26,OTU_76,OTU_4343,OTU_343,OTU_18949,OTU_1758,OTU_157,OTU_17814,OTU_264,OTU_107,OTU_75,OTU_24244,OTU_17160,OTU_2940,OTU_173,OTU_41795,OTU_137,OTU_9648,OTU_899,OTU_98,OTU_191,OTU_138,OTU_6625,OTU_9846,OTU_6640,OTU_12506,OTU_3161,OTU_1008,OTU_117,OTU_727,OTU_30,OTU_863,OTU_212,OTU_4995,OTU_2811,OTU_225,OTU_186,OTU_144,OTU_4497,OTU_1517,OTU_454,OTU_354,OTU_1529,OTU_4735,OTU_1981,OTU_638,OTU_71,OTU_52,OTU_323,OTU_297,OTU_22664,OTU_2859,OTU_423,OTU_589,OTU_508,OTU_11937,OTU_42268,OTU_7081,OTU_193,OTU_940,OTU_40882,OTU_170,OTU_205,OTU_3072,OTU_67,OTU_142,OTU_6462,OTU_286,OTU_327,OTU_682,OTU_228,OTU_265,OTU_254,OTU_6879,OTU_7783,OTU_13072,OTU_854,OTU_132,OTU_110,OTU_335,OTU_8934,OTU_6526,OTU_119,OTU_116,OTU_450,OTU_38515,OTU_417,OTU_3109,OTU_316,OTU_332,OTU_19226,OTU_294,OTU_270,OTU_94,OTU_494,OTU_344,OTU_2568,OTU_83,OTU_359,OTU_9659,OTU_1412,OTU_710,OTU_6018,OTU_1181,OTU_35,OTU_5201,OTU_5164,OTU_262,OTU_416,OTU_1233,OTU_7213,OTU_5482,OTU_214,OTU_1416,OTU_1459,OTU_279,OTU_253,OTU_238,OTU_10810,OTU_1282,OTU_18647,OTU_2372,OTU_337,OTU_655,OTU_42608,OTU_199,OTU_424,OTU_2813,OTU_151,OTU_154,OTU_438,OTU_414,OTU_407,OTU_1384,OTU_5987,OTU_2916,OTU_92,OTU_285,OTU_165,OTU_783,OTU_2128,OTU_349,OTU_662,OTU_2106,OTU_326,OTU_22557,OTU_784,OTU_236,OTU_203,OTU_28492,OTU_2592,OTU_37593,OTU_14640,OTU_1524,OTU_156,OTU_184,OTU_24926,OTU_7748,OTU_6820,OTU_27847,OTU_25205,OTU_672,OTU_701,OTU_12047,OTU_633,OTU_147,OTU_12102,OTU_572,OTU_27975,OTU_135,OTU_36249,OTU_301,OTU_302,OTU_20918,OTU_5959,OTU_10913,OTU_120,OTU_103,OTU_5357,OTU_6387,OTU_7247,OTU_33045,OTU_47,OTU_23,OTU_18203,OTU_2634,OTU_12273,OTU_213,OTU_31027,OTU_222,OTU_391,OTU_28747,OTU_290,OTU_160,OTU_1748,OTU_26184,OTU_2226,OTU_298,OTU_30959,OTU_1087,OTU_613,OTU_70,OTU_3213,OTU_503,OTU_3504,OTU_1770,OTU_16719,OTU_3704,OTU_599,OTU_86,OTU_259,OTU_33,OTU_25687,OTU_1817,OTU_18635,OTU_860,OTU_766,OTU_25101,OTU_1891,OTU_18910,OTU_50,OTU_43364,OTU_11266,OTU_693,OTU_4034,OTU_2172,OTU_42001,OTU_960,OTU_564,OTU_800,OTU_3542,OTU_5178,OTU_24690,OTU_1731,OTU_512,OTU_881,OTU_26152,OTU_1322,OTU_39105,OTU_209,OTU_483,OTU_519,OTU_7973,OTU_207,OTU_1589,OTU_1614,OTU_811,OTU_20754,OTU_752,OTU_10813,OTU_2073,OTU_22324,OTU_217,OTU_287,OTU_34164,OTU_698,OTU_2784,OTU_36189,OTU_7421,OTU_139,OTU_1019,OTU_1715,OTU_912,OTU_300,OTU_2676,OTU_18652,OTU_341,OTU_1025,OTU_379,OTU_1139,OTU_1078,OTU_1600,OTU_5704,OTU_7385,OTU_447,OTU_40042,OTU_1562,OTU_26011,OTU_935,OTU_1574,OTU_1273,OTU_208,OTU_21267,OTU_627,OTU_435,OTU_257,OTU_1212,OTU_24223,OTU_59,OTU_9452,OTU_439,OTU_14779,OTU_188,OTU_631,OTU_15001,OTU_6457,OTU_8642,OTU_307,OTU_1131,OTU_11503,OTU_292,OTU_1657,OTU_605,OTU_21850,OTU_445,OTU_21325,OTU_1164,OTU_7013,OTU_1195,OTU_21010,OTU_477,OTU_229,OTU_69,OTU_176,OTU_2920,OTU_835,OTU_762,OTU_660,OTU_877,OTU_35535,OTU_243,OTU_810,OTU_36092,OTU_5857,OTU_11827,OTU_541,OTU_8853,OTU_552,OTU_26244,OTU_3116,OTU_5921,OTU_19665,OTU_4466,OTU_8266,OTU_639,OTU_37016,OTU_2206,OTU_9832,OTU_348,OTU_397,OTU_654,OTU_14638,OTU_461,OTU_16330,OTU_29171,OTU_2778,OTU_3021,OTU_827,OTU_1267,OTU_595,OTU_640,OTU_731,OTU_402,OTU_1020,OTU_330,OTU_27201,OTU_4130,OTU_22252,OTU_16002,OTU_3122,OTU_808,OTU_340,OTU_3279,OTU_41662,OTU_18050,OTU_567,OTU_2329,OTU_2630,OTU_13249,OTU_93,OTU_526,OTU_971,OTU_4842,OTU_277,OTU_383,OTU_590,OTU_7537,OTU_4351,OTU_3012,OTU_476,OTU_38449,OTU_458,OTU_39447,OTU_560,OTU_369,OTU_3527,OTU_25497,OTU_272,OTU_743,OTU_1475,OTU_2532,OTU_1866,OTU_27162,OTU_17730,OTU_4226,OTU_9257,OTU_1474,OTU_19940,OTU_2065,OTU_1104,OTU_702,OTU_588,OTU_695,OTU_6158,OTU_7504,OTU_2527,OTU_2844,OTU_2038,OTU_1539,OTU_42423,OTU_23293,OTU_2097,OTU_413,OTU_816,OTU_543,OTU_22401,OTU_40614,OTU_26725,OTU_2030,OTU_158,OTU_149,OTU_89,OTU_234,OTU_4829,OTU_4719,OTU_4809,OTU_7634,OTU_347,OTU_496,OTU_210,OTU_5832,OTU_528,OTU_1325,OTU_2511,OTU_1302,OTU_1156,OTU_7962,OTU_26721,OTU_5515,OTU_9207,OTU_1637,OTU_206,OTU_7807,OTU_20167,OTU_3763,OTU_998,OTU_618,OTU_961,OTU_3160,OTU_37856,OTU_882
1,73,503,11,23,19,0,5,65,6,2,3,2,9,7,5,1,13,11,9,4,10,4,6,3,0,10,1,15,2,0,6,10,163,188,3,2,20,54,0,6,2,17,16,11,6,0,2,0,0,0,35,0,15,1,0,2,1,0,0,2,423,0,1,1,1,3,1,2,2,0,5,5,3,1,0,4,20,0,1,9,12,16,9,4,0,7,5,2,7,6,4,7,0,0,0,0,2,31,2,2,1,3,0,0,0,0,0,146,0,0,0,2,0,1,4,0,1,1,0,0,9,13,3,0,18,27,2,0,1,0,3,7,0,15,0,8,0,0,0,4,0,19,3,55,0,4,1,4,2,1,2,1,6,0,3,1,4,0,2,1,11,0,0,0,0,4,2,12,0,11,0,0,26,0,1,47,0,0,0,3,3,0,1,0,1,0,0,2,0,7,2,9,4,0,2,0,8,1,1,0,0,0,7,0,0,1,6,0,0,0,0,38,3,0,3,2,0,0,0,0,4,0,0,1,0,24,3,4,0,10,6,7,0,5,0,1,10,7,0,0,0,0,0,0,1,10,0,0,0,28,0,0,2,4,0,0,0,0,2,0,0,10,0,0,1,3,3,1,0,0,1,8,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,3,0,2,0,42,0,4,3,0,0,9,0,0,0,2,2,25,8,0,2,5,3,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1,2,3,1,0,12,3,5,12,15,8,1,0,1,0,0,0,0,0,19,6,1,0,0,0,0,2,7,1,0,0,0,0,0,1,116,0,1,0,0,2,0,2,0,0,0,1,0,1,0,7,56,12,0,0,3,1,0,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,34,0,0,3,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,2,0,6,1,0,24,0,6,0,0,0,0,0,0,0,0,49,0,0,0,2,3,1,1,2,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,1,39,0,0,0,0,7,0,0,6,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
2,94,324,51,0,26,1,1,4,9,1,0,1,11,0,117,0,137,21,0,0,0,8,1,4,1,1,0,7,4,1,0,0,1,14,0,9,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,10,0,5,0,0,2,0,1,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,1,49,0,0,0,0,0,0,0,1,6,6,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,9,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,8,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,38,0,0,1,1,0,1,0,24,0,3,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,4,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,92,82,22,3,78,1,1,0,0,0,0,8,0,1,9,0,4,4,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,7,0,52,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,12,0,47,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29,0,0,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,48,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4,58,79,23,27,49,11,63,14,94,10,9,21,23,2,13,21,5,44,20,5,3,9,26,6,12,20,10,11,14,33,35,27,86,32,10,2,7,34,3,25,7,3,14,12,29,1,5,17,3,6,10,1,1,0,7,8,2,11,24,9,13,0,4,13,3,20,9,18,8,7,10,10,0,0,0,19,17,3,5,14,4,89,1,3,2,3,1,1,22,3,30,7,3,8,7,9,5,1,0,3,0,7,3,1,1,3,0,4,1,9,1,0,0,1,0,0,12,6,10,1,1,18,4,7,80,67,2,1,3,4,17,2,9,13,3,1,0,4,27,3,2,6,19,5,0,12,31,35,3,4,4,4,1,0,2,7,3,1,36,2,6,0,3,0,2,5,5,9,0,4,0,1,1,2,2,22,0,0,0,2,7,5,5,0,2,3,1,10,1,3,2,41,12,7,4,14,4,6,2,0,0,5,2,1,17,10,4,9,0,0,1,1,7,3,7,1,0,16,1,0,0,9,4,0,14,61,1,2,4,38,4,3,38,7,2,0,7,23,0,0,2,3,1,4,1,1,8,3,0,35,2,0,35,3,11,6,0,3,1,1,10,0,2,0,1,5,2,2,0,1,26,33,1,0,0,4,1,4,0,0,0,8,1,0,20,7,1,1,0,2,0,0,0,0,25,7,3,2,1,1,0,13,1,2,9,1,2,6,3,0,1,25,19,2,9,0,0,3,0,0,3,2,0,1,0,5,2,2,5,0,34,1,2,13,0,2,5,0,0,0,0,6,1,0,1,6,2,3,0,0,4,0,1,9,0,0,6,4,0,2,29,1,1,0,6,0,2,0,4,0,0,1,0,0,1,2,0,3,0,0,2,3,0,0,0,2,0,5,8,0,16,0,0,1,0,0,0,0,0,0,11,0,0,4,5,0,0,0,1,57,0,1,18,2,1,0,1,1,0,0,3,12,0,0,1,2,0,1,2,0,1,1,0,0,1,0,5,2,6,31,3,0,0,1,13,1,0,15,10,0,0,1,0,3,2,6,0,0,0,2,1,0,10,1,2,0,0,0,2,0,0,2,7,32,1,0,0,0,2,63,0,3,4,0,0,2,0,1,1,0,0,10,0,3,3,2,0,0,0,1,5,0,0,1,1,0,6,2,0,2,1
5,306,214,12,15,50,24,13,6,48,3,2,3,10,2,16,1,9,24,0,1,7,5,8,0,9,1,7,56,5,0,1,2,13,14,18,33,1,6,69,3,13,27,3,2,30,1,2,3,0,15,0,1,14,0,3,0,8,58,3,0,1,11,4,3,0,0,4,0,1,14,0,0,6,8,2,2,27,8,4,20,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,2,1,0,3,0,3,2,2,1,1,6,1,0,0,1,3,6,0,1,16,0,2,0,1,2,65,2,20,3,0,0,0,0,1,0,0,1,12,3,4,3,0,0,3,36,0,1,0,7,8,0,1,0,6,0,0,0,0,2,1,3,8,0,1,4,0,0,1,1,1,0,0,4,1,1,3,0,1,0,1,0,18,0,2,4,8,0,2,2,4,20,0,0,0,2,0,3,0,2,0,1,14,0,0,0,5,0,44,0,0,0,0,2,3,8,1,2,13,1,0,14,34,0,0,1,1,2,0,0,0,43,0,0,0,0,0,7,5,20,9,0,35,0,0,0,0,0,0,0,0,13,1,6,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,19,0,3,3,0,1,4,5,0,0,0,5,0,2,0,0,17,0,0,0,0,0,1,1,0,1,0,0,0,0,0,8,0,1,0,0,3,0,0,0,8,0,0,0,0,3,2,0,19,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,1,33,0,0,0,0,0,3,3,12,0,0,0,0,0,1,2,0,0,0,9,0,5,0,2,0,2,0,0,1,3,0,0,0,6,8,0,0,0,6,0,0,0,1,8,0,1,7,0,6,0,13,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,1,0,0,7,2,1,0,96,0,0,0,0,2,0,1,2,1,0,0,0,12,1,1,0,0,0,0,2,0,3,8,0,0,0,0,0,4,21,2,1,0,0,2,1,0,0,54,0,0,0,0,0,0,0,21,1,10,6,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,10,0,0,1,0,3,0,3,0,0,1,0
6,288,502,12,6,48,12,1,14,7,2,1,1,9,1,71,1,8,41,0,1,0,8,3,1,0,4,0,7,16,0,0,0,13,18,0,18,2,64,1,0,2,4,1,0,9,0,4,2,0,0,0,0,18,0,8,0,0,0,0,0,4,0,7,0,0,1,4,10,0,0,0,0,5,0,1,0,24,0,1,0,7,0,0,0,0,0,8,1,0,1,1,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,10,0,1,0,5,2,1,0,0,0,0,1,0,21,0,2,4,0,0,1,0,0,0,0,5,0,1,1,11,0,0,5,5,0,19,0,0,2,0,0,0,0,1,1,1,2,0,0,27,3,0,6,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,3,0,0,0,8,2,3,0,0,0,0,10,0,0,0,6,0,15,0,0,0,0,32,0,0,0,0,0,15,0,0,0,0,0,0,6,0,2,9,0,0,32,2,0,0,0,0,0,0,0,0,82,0,0,0,0,0,8,0,6,0,1,2,0,1,1,0,2,0,0,0,13,0,2,5,0,0,0,0,6,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,23,0,1,10,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,42,1,0,0,3,0,6,0,70,0,0,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,19,0,13,0,2,0,1,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,22,0,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,7,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,6,41,0,0,0,0,8,0,1,0,0,0,0,11,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
7,447,61,10,8,41,18,11,0,9,12,2,42,1,3,15,0,15,1,2,2,3,1,0,1,7,2,3,3,3,1,0,1,1,6,7,95,1,0,9,0,1,0,0,12,27,2,6,7,3,12,0,0,13,2,6,0,0,0,0,2,7,4,0,6,0,0,2,1,4,0,0,0,9,2,1,0,2,0,0,0,3,0,0,2,5,1,2,2,0,3,0,0,0,0,6,4,5,0,5,0,0,0,0,0,2,10,0,0,3,1,0,4,2,2,0,0,0,0,1,0,102,0,5,8,0,0,0,0,1,0,0,1,0,0,5,3,0,1,0,11,0,0,0,1,55,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,2,0,0,0,0,2,9,0,0,11,20,0,0,1,0,0,0,0,0,2,0,0,0,5,23,3,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,72,0,0,0,0,0,0,34,0,0,5,0,0,50,1,1,0,0,1,3,0,0,0,2,0,0,0,0,0,3,0,6,29,0,0,0,0,0,0,1,0,0,0,23,0,11,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,19,2,1,2,0,0,0,0,0,0,0,3,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,6,0,0,0,0,0,0,4,0,2,16,0,0,0,0,1,0,0,6,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,4,19,0,0,1,0,0,0,7,0,0,0,0,0,0,1,1,1,1,0,22,0,26,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,1,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,5,1,0,6,20,0,0,0,0,0,2,0,1,1,0,0,0,10,0,2,0,0,0,0,4,0,0,3,1,2,6,0,0,6,12,9,12,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,64,1,0,0,3,0,0,0,7,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,10,0,0,0,0
8,379,284,16,11,74,0,0,0,3,0,0,0,9,0,32,0,12,4,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,37,0,38,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,6,0,57,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,0,2,0,0,0,0,1,0,45,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,90,0,0,0,0,0,0,2,0,2,1,0,0,17,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,229,565,128,4,134,0,2,0,0,0,0,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,19,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,49,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,2,0,0,0,0,0,13,0,0,0,0,3,1,0,0,0,29,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,182,75,18,32,75,12,33,10,48,22,4,19,16,3,4,3,3,22,24,3,2,15,7,8,6,195,7,1,1,9,9,4,66,12,20,12,3,51,12,8,34,49,4,7,15,1,10,4,1,4,3,4,2,3,9,5,6,63,10,5,30,0,3,14,11,2,12,1,14,5,10,11,0,2,0,9,7,5,0,72,3,27,3,13,4,3,2,2,21,6,24,3,1,11,1,4,5,1,0,2,0,3,0,1,3,1,0,5,1,4,2,3,2,0,9,0,4,6,16,1,10,5,11,0,1,23,2,1,11,1,25,7,0,2,3,0,0,11,63,2,1,16,22,3,0,2,2,16,4,5,2,2,1,9,19,16,6,12,88,3,6,0,7,0,0,13,1,9,0,3,61,2,3,3,1,0,5,0,3,7,6,5,0,0,2,1,2,0,9,2,0,21,17,3,1,7,34,9,4,0,0,0,0,1,4,6,5,15,0,1,0,0,42,3,0,3,4,39,0,0,0,10,5,0,13,124,0,4,8,8,3,28,32,3,1,0,33,20,0,1,9,2,0,1,1,0,0,1,2,0,3,0,39,4,0,0,0,0,1,2,0,2,1,0,0,0,3,2,1,1,16,58,10,1,1,0,1,7,0,1,0,0,0,0,24,5,4,45,1,0,0,1,0,1,16,4,0,0,0,1,0,1,4,1,0,1,0,5,6,0,3,19,19,1,4,0,0,13,1,0,0,0,0,2,0,0,10,3,6,3,13,0,0,5,4,0,2,0,2,0,3,7,3,0,4,2,5,0,0,0,4,0,4,3,0,0,0,0,0,12,2,3,0,2,10,1,2,3,1,1,0,2,0,0,0,1,4,23,0,0,5,1,0,0,1,2,0,0,0,0,7,0,0,7,0,8,0,0,1,0,27,6,0,0,1,1,0,0,0,0,0,0,18,2,0,0,0,0,2,0,1,3,0,0,0,2,0,0,4,0,12,3,0,1,0,3,3,1,0,9,1,0,0,0,41,0,0,3,1,4,1,2,0,3,9,4,0,0,1,0,2,1,7,8,3,0,0,1,0,0,5,0,0,22,6,0,0,2,2,19,1,50,2,0,0,0,2,0,0,0,0,0,1,1,0,4,1,5,1,3,2,0,0,0,0,0,5,0,3,1,1
