"","x"
"1","OTU_75"
"2","OTU_371"
"3","OTU_6462"
"4","OTU_249"
"5","OTU_727"
"6","OTU_496"
"7","OTU_132"
"8","OTU_93"
"9","OTU_254"
"10","OTU_7081"
"11","OTU_2106"
"12","OTU_338"
"13","OTU_349"
"14","OTU_701"
"15","OTU_397"
"16","OTU_323"
"17","OTU_5921"
"18","OTU_255"
"19","OTU_810"
"20","OTU_700"
"21","OTU_70"
"22","OTU_217"
"23","OTU_243"
"24","OTU_5357"
"25","OTU_74"
"26","OTU_11827"
"27","OTU_111"
"28","OTU_6625"
"29","OTU_56"
"30","OTU_22324"
"31","OTU_640"
"32","OTU_391"
"33","OTU_42608"
"34","OTU_10"
"35","OTU_531"
"36","OTU_198"
"37","OTU_5482"
"38","OTU_119"
"39","OTU_340"
"40","OTU_19226"
"41","OTU_173"
"42","OTU_454"
"43","OTU_41"
"44","OTU_439"
"45","OTU_45"
"46","OTU_682"
"47","OTU_71"
"48","OTU_196"
"49","OTU_11839"
"50","OTU_7213"
"51","OTU_971"
"52","OTU_5704"
"53","OTU_5857"
"54","OTU_3109"
"55","OTU_21850"
"56","OTU_210"
"57","OTU_98"
"58","OTU_7783"
"59","OTU_458"
"60","OTU_503"
"61","OTU_33"
"62","OTU_14779"
"63","OTU_4829"
"64","OTU_36249"
"65","OTU_316"
"66","OTU_783"
"67","OTU_62"
"68","OTU_605"
"69","OTU_383"
"70","OTU_18635"
"71","OTU_3018"
"72","OTU_35535"
"73","OTU_2592"
"74","OTU_1517"
"75","OTU_298"
"76","OTU_450"
"77","OTU_35"
"78","OTU_8182"
"79","OTU_120"
"80","OTU_19940"
"81","OTU_2372"
"82","OTU_633"
"83","OTU_2859"
"84","OTU_3504"
"85","OTU_9832"
"86","OTU_21010"
"87","OTU_337"
"88","OTU_156"
"89","OTU_86"
"90","OTU_800"
"91","OTU_21325"
"92","OTU_23"
"93","OTU_3279"
"94","OTU_1087"
"95","OTU_4842"
"96","OTU_369"
"97","OTU_379"
"98","OTU_348"
"99","OTU_477"
"100","OTU_50"
