,Species
1,Bradyrhizobium.sp..BTAi1
2,Bacillus.subtilis
3,Cupriavidus.metallidurans
4,Bradyrhizobium.sp..SK17
5,Listeria.monocytogenes
6,Bradyrhizobium.sp..S23321
7,Enterococcus.faecalis
8,Ralstonia.pickettii
9,Carnobacterium.inhibens
10,Streptococcus.oralis
11,Pantoea.sp..PSNIH1
12,Bradyrhizobium.japonicum
13,Methylobacterium.sp..C1
14,Chroococcidiopsis.thermalis
15,Methylobacterium.radiotolerans
16,Deinococcus.swuensis
17,Lactobacillus.fermentum
18,Cutibacterium.acnes
19,Brevundimonas.sp..DS20
20,Gordonia.bronchialis
21,Streptococcus.mitis
22,Acinetobacter.schindleri
23,Jeotgalibacillus.malaysiensis
24,Klebsiella.quasipneumoniae
25,Bradyrhizobium.sp..CCGE.LA001
26,Leishmania.major
27,Bradyrhizobium.diazoefficiens
28,Deinococcus.radiodurans
29,Carnobacterium.sp..17.4
30,Acinetobacter.junii
31,Gordonia.terrae
32,Chryseobacterium.taklimakanense
33,Pseudomonas.stutzeri
34,Salmonella.enterica
35,Gordonia.sp..KTR9
36,Bradyrhizobium.sp.
37,Thermothelomyces.thermophila
38,Pseudomonas.fluorescens
39,Raoultella.planticola
40,Kosakonia.cowanii
41,Rhodococcus.fascians
42,Candida.dubliniensis
43,Thielavia.terrestris
44,Propionibacterium.virus.Pirate
45,Alteromonas.macleodii
46,Streptococcus.parasanguinis
47,Rhodococcus.sp..PBTS.2
48,Brevundimonas.sp..GW460.12.10.14.LB2
49,Pantoea.agglomerans
50,Acinetobacter.pittii
51,Pseudomonas.balearica
52,Erwinia.gerundensis
53,Methylobacterium.populi
54,Dermacoccus.nishinomiyaensis
55,Roseateles.depolymerans
56,Acinetobacter.sp..LoGeW2.3
57,Brevundimonas.vesicularis
58,Plautia.stali.symbiont
59,Erwinia.billingiae
60,Microlunatus.phosphovorus
61,Lactobacillus.reuteri
62,Brevundimonas.sp..LM2
63,Brevundimonas.subvibrioides
64,Pantoea.sp..PSNIH2
65,Rhodococcus.sp..YL.1
66,Methylobacterium.oryzae
67,Streptococcus.gordonii
68,Micrococcus.luteus
69,Cronobacter.turicensis
70,Paucibacter.sp..KCTC.42545
71,Corynebacterium.kroppenstedtii
72,Acinetobacter.haemolyticus
73,Exiguobacterium.sibiricum
74,Bacillus.megaterium
75,Auricoccus.indicus
76,Weissella.cibaria
77,Lactobacillus.amylovorus
78,Leclercia.sp..LSNIH1
79,Enterococcus.faecium
80,Mitsuaria.sp..7
81,Streptococcus.sanguinis
82,Gordonia.phage.Phinally
83,Turicibacter.sp..H121
84,Saccharomyces.cerevisiae
85,Klebsiella.quasivariicola
86,Rhodococcus.sp..PBTS.1
87,Janibacter.indicus
88,Diaphorobacter.polyhydroxybutyrativorans
89,Mycobacterium.chimaera
90,Exiguobacterium.sp..AT1b
91,Kluyveromyces.marxianus
92,Nostoc.flagelliforme
93,Buchnera.aphidicola
94,Staphylococcus.capitis
95,Lactobacillus.curvatus
96,Rathayibacter.tritici
97,Enterobacter.asburiae
98,Kocuria.flava
