"","x"
"1","OTU_6462"
"2","OTU_249"
"3","OTU_75"
"4","OTU_93"
"5","OTU_2106"
"6","OTU_371"
"7","OTU_132"
"8","OTU_727"
"9","OTU_254"
"10","OTU_496"
"11","OTU_71"
"12","OTU_7081"
"13","OTU_397"
"14","OTU_338"
"15","OTU_340"
"16","OTU_5357"
"17","OTU_11827"
"18","OTU_21850"
"19","OTU_5921"
"20","OTU_531"
"21","OTU_323"
"22","OTU_640"
"23","OTU_682"
"24","OTU_217"
"25","OTU_6625"
"26","OTU_56"
"27","OTU_14779"
"28","OTU_255"
"29","OTU_243"
"30","OTU_70"
"31","OTU_2065"
"32","OTU_810"
"33","OTU_701"
"34","OTU_18652"
"35","OTU_74"
"36","OTU_349"
"37","OTU_971"
"38","OTU_5857"
"39","OTU_33"
"40","OTU_42608"
"41","OTU_1614"
"42","OTU_111"
"43","OTU_198"
"44","OTU_5482"
"45","OTU_22324"
"46","OTU_439"
"47","OTU_695"
"48","OTU_783"
"49","OTU_41"
"50","OTU_2592"
"51","OTU_7213"
"52","OTU_210"
"53","OTU_19940"
"54","OTU_4829"
"55","OTU_391"
"56","OTU_19226"
"57","OTU_2372"
"58","OTU_11839"
"59","OTU_7783"
"60","OTU_2630"
"61","OTU_512"
"62","OTU_700"
"63","OTU_76"
"64","OTU_36249"
"65","OTU_45"
"66","OTU_24244"
"67","OTU_8182"
"68","OTU_225"
"69","OTU_158"
"70","OTU_3109"
"71","OTU_298"
"72","OTU_1517"
"73","OTU_503"
"74","OTU_196"
"75","OTU_119"
"76","OTU_3504"
"77","OTU_10813"
"78","OTU_147"
"79","OTU_11937"
"80","OTU_173"
"81","OTU_120"
"82","OTU_35"
"83","OTU_354"
"84","OTU_4842"
"85","OTU_854"
"86","OTU_458"
"87","OTU_3542"
"88","OTU_3279"
"89","OTU_238"
"90","OTU_454"
"91","OTU_19665"
"92","OTU_50"
"93","OTU_450"
"94","OTU_1273"
"95","OTU_24"
"96","OTU_1770"
"97","OTU_1574"
"98","OTU_272"
"99","OTU_800"
"100","OTU_236"
"101","OTU_1156"
"102","OTU_3018"
"103","OTU_62"
"104","OTU_476"
"105","OTU_25205"
"106","OTU_316"
"107","OTU_310"
"108","OTU_10"
"109","OTU_4466"
"110","OTU_37016"
"111","OTU_5987"
"112","OTU_86"
"113","OTU_98"
"114","OTU_605"
"115","OTU_2920"
"116","OTU_731"
"117","OTU_23"
"118","OTU_9832"
"119","OTU_28747"
"120","OTU_35535"
"121","OTU_16"
"122","OTU_2206"
"123","OTU_288"
"124","OTU_379"
"125","OTU_564"
"126","OTU_21325"
"127","OTU_639"
"128","OTU_135"
"129","OTU_300"
"130","OTU_165"
"131","OTU_137"
"132","OTU_302"
"133","OTU_41795"
"134","OTU_24690"
"135","OTU_138"
"136","OTU_383"
"137","OTU_1758"
"138","OTU_30"
"139","OTU_103"
"140","OTU_337"
"141","OTU_9648"
"142","OTU_12506"
"143","OTU_477"
"144","OTU_22664"
"145","OTU_27847"
"146","OTU_38515"
"147","OTU_369"
"148","OTU_1534"
"149","OTU_206"
"150","OTU_519"
"151","OTU_36092"
"152","OTU_9846"
"153","OTU_613"
"154","OTU_5704"
"155","OTU_17160"
"156","OTU_209"
"157","OTU_68"
"158","OTU_385"
"159","OTU_59"
"160","OTU_3293"
"161","OTU_347"
"162","OTU_109"
"163","OTU_899"
"164","OTU_4226"
"165","OTU_2813"
"166","OTU_22401"
"167","OTU_208"
"168","OTU_69"
"169","OTU_117"
"170","OTU_214"
"171","OTU_1233"
"172","OTU_203"
"173","OTU_6567"
"174","OTU_25687"
"175","OTU_4995"
"176","OTU_307"
"177","OTU_348"
"178","OTU_39105"
"179","OTU_28492"
"180","OTU_654"
"181","OTU_184"
"182","OTU_2811"
"183","OTU_67"
"184","OTU_2916"
"185","OTU_960"
"186","OTU_287"
"187","OTU_1589"
"188","OTU_47"
"189","OTU_3213"
"190","OTU_1731"
"191","OTU_4343"
"192","OTU_156"
"193","OTU_115"
"194","OTU_92"
"195","OTU_5832"
"196","OTU_1282"
"197","OTU_12102"
"198","OTU_43364"
"199","OTU_40882"
"200","OTU_1384"
