Station,Station ID,La,,,Lo,,,,Latitude,Longitude
,,Degrees,Minutes,Seconds,Degrees,Minutes,Seconds,,Decimal,Decimal
Tuen Mun,1,22,23,41.8,113,58,23.8,,22.39494444,113.9732778
Siu Hong,2,22,24,42.8,113,58,44.1,,22.41188889,113.9789167
Tin Shui Wai,3,22,26,54.2,114,0,16.2,,22.44838889,114.0045
Long Ping,4,22,26,51.7,114,1,32.4,,22.44769444,114.0256667
Yuen Long,5,22,26,45.5,114,2,3.9,,22.44597222,114.0344167
Kam Sheung Road,6,22,26,5.4,114,3,48.7,,22.43483333,114.0635278
Tsuen Wan West,7,22,22,6.6,114,6,34.7,,22.3685,114.1096389
Mei Foo,8,22,20,15.4,114,8,16.8,,22.33761111,114.138
Nam Cheong,9,22,19,36.5,114,9,13.3,,22.32680556,114.1536944
Austin,10,22,18,19.1,114,9,58.1,,22.30530556,114.1661389
East Tsim Sha Tsui,11,22,17,43,114,10,28.5,,22.29527778,114.1745833
Hung Hom,12,22,18,10.3,114,10,55.7,,22.30286111,114.1821389
Tsuen Wan,1,22,22,25.4,114,7,3.8,,22.37372222,114.1177222
Tai Wo Hau,2,22,22,14.2,114,7,28.1,,22.37061111,114.1244722
Kwai Hing,3,22,21,47.5,114,7,53.6,,22.36319444,114.1315556
Kwai Fong,4,22,21,24.7,114,7,40.2,,22.35686111,114.1278333
Lai King,5,22,20,54.4,114,7,34.1,,22.34844444,114.1261389
Mei Foo,6,22,20,15.4,114,8,16.8,,22.33761111,114.138
Lai Chi kok,7,22,20,13.4,114,8,47.5,,22.33705556,114.1465278
Cheung Sha Wan,8,22,20,7.5,114,9,22.5,,22.33541667,114.15625
Sham Shui Po,9,22,19,50.8,114,9,44.1,,22.33077778,114.16225
Prince Edward,10,22,19,28.7,114,10,5.8,,22.32463889,114.1682778
Mong kok,11,22,19,9.4,114,10,9.7,,22.31927778,114.1693611
Yau Ma Tei,12,22,18,48.2,114,10,14.1,,22.31338889,114.1705833
Jordan,13,22,18,17.7,114,10,18,,22.30491667,114.1716667
Tsim Sha Tsui,14,22,17,51.8,114,10,19.8,,22.29772222,114.1721667
Admiralty,15,22,16,45.9,114,9,52.3,,22.27941667,114.1645278
Central,16,22,16,55.2,114,9,27.6,,22.282,114.1576667
Hung Hom,1,22,18,10.3,114,10,55.7,,22.30286111,114.1821389
Mong Kok East,2,22,19,19.8,114,10,21.2,,22.32216667,114.1725556
Kowloon Tong,3,22,20,12.9,114,10,34.3,,22.33691667,114.1761944
Tai Wai,4,22,22,23.9,114,10,41.4,,22.37330556,114.1781667
Sha Tin,5,22,22,54.6,114,11,13.2,,22.38183333,114.187
