Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.53195199,0.003723371,3,E15 3NB
Abbey Wood,547297,179002,51.4907841,0.12027197,4,SE2 9RH
Acton Central,520613,180299,51.50875778,-0.263430199,2,W3 6BH
Acton Main Line,520296,181196,51.51688693,-0.267689952,3,W3 9EH
Acton Town,519457,179639,51.50307144,-0.280302701,3,W3 8HN
Addington Village,537082,163744,51.35623859,-0.0326651,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.37980829,-0.073213283,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.43581561,0.126444638,5,DA5 3HP
Aldgate,533629,181246,51.51434238,-0.075626913,1,EC3N 1AH
Aldgate East,533809,181333,51.51508162,-0.073001463,1,E1 7PT
Alexandra Palace,530300,190498,51.59826282,-0.120148972,3,N22 7ST
All Saints,538012,180933,51.51047692,-0.012624885,2,E14 0EH
Alperton,518025,183849,51.54120927,-0.299515759,4,HA0 4LL
Amersham,496454,198181,51.67412932,-0.606513789,9,HP6 5AZ
Ampere Way,530674,166476,51.38229942,-0.123636799,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.41251672,-0.0651371,4,SE20 8PY
Angel,531497,183263,51.53296802,-0.105581449,1,N1 8XB
Angel Road,535204,192202,51.61242032,-0.048732919,4,N18 3AY
Archway,529356,186827,51.56549053,-0.135121577,"2,3",N19 5RQ
Arena,535192,167620,51.39152275,-0.05831855,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.61623014,-0.134270219,4,N11 1AN
Arsenal,531429,186107,51.55854138,-0.105499934,2,N5 1LP
Avenue Road,535764,169335,51.40679798,-0.049446937,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.52312962,-0.156904194,1,NW1 5LA
Balham,528482,173195,51.44318256,-0.152685163,3,SW12 9SG
Bank,532704,181111,51.51334706,-0.089000124,1,EC3V 3LA
Banstead,524590,160426,51.32929312,-0.213132336,6,SM7 1RB
Barbican,532079,181859,51.52021528,-0.097721579,1,EC1A 4JA
Barking,544405,184343,51.53952111,0.08083161,4,IG11 8TU
Barkingside,544788,189510,51.58585061,0.08847664,4,IG6 1NB
Barnehurst,550206,176193,51.46478029,0.160948022,6,DA7 6HQ
Barnes,522209,175705,51.46712777,-0.242033062,3,SW13 0LW
Barnes Bridge,521478,176255,51.47222805,-0.252362617,3,SW13 0NR
Barons Court,524133,178322,51.49022868,-0.213430145,2,W14 9DP
Battersea Park,528703,176999,51.47731832,-0.148123762,2,SW8 4NB
Bayswater,525845,180799,51.51211129,-0.187901574,1,W2 4QH
Beckenham Hill,538002,171379,51.42462606,-0.016495762,4,SE6 3NU
Beckenham Junction,537403,169840,51.41094164,-0.025701739,4,BR3 1HY
Beckenham Road,536177,169650,51.40952975,-0.043391922,"3,4,5,6",BR3 4RR
Beckton,543145,181509,51.51437663,0.061525297,3,E6 5NT
Beckton Park,542697,180887,51.50890079,0.054821939,3,E6 5NE
Becontree,547598,184442,51.53958541,0.126880292,5,RM9 4TP
Beddington Lane,529367,167215,51.38923988,-0.142138434,"3,4,5,6",CR0 4TF
Belgrave Walk,526805,168455,51.40096165,-0.178496474,"3,4,5,6",CR4 4NY
Bellingham,537702,172399,51.43386489,-0.02041177,3,SE6 3BT
Belmont,525500,162098,51.34411992,-0.199489253,5,SM2 6BH
Belsize Park,527399,185075,51.55019088,-0.163974493,2,NW3 2AL
Belvedere,549498,179197,51.491959,0.152033792,5,DA17 6JW
Bermondsey,534461,179445,51.49796078,-0.06433009,2,SE16 4RX
Berrylands,519728,168040,51.39876841,-0.280321477,5,KT5 8LT
Bethnal Green,534995,182712,51.52719174,-0.055392112,2,E2 0ET
Bethnal Green Rail,534683,182380,51.52428274,-0.060013743,2,E2 6JL
Bexley,549399,173502,51.44081453,0.148203913,6,DA5 1AQ
Bexleyheath,548294,176000,51.46354996,0.133362965,5,DA7 4AA
Bickley,542304,168799,51.40037957,0.044304032,5,BR1 2EB
Birkbeck,535297,168996,51.40386309,-0.056286236,4,BR3 4TA
Blackfriars,531738,180890,51.51158693,-0.102995385,1,EC4V 4DD
Blackheath,539604,175961,51.46540801,0.008336595,3,SE3 9LE
Blackhorse Lane,534362,166844,51.38474618,-0.070533948,"3,4,5,6",CR0 6NL
