Station,Latitude,Longitude,Line,Mean Weekday Ridership 2013,Borough
1 Av,40.730953,-73.981628,L,23467,Manhattan
103 St,40.799446,-73.968379,1,13500,Manhattan
103 St,40.79,-73.947478,6,16189,Manhattan
103 St,40.796092,-73.961454,"B,C",4760,Manhattan
103 St-Corona Plaza,40.749865,-73.8627,7,19216,Queens
104 St,40.695178,-73.84433,"J,Z",2575,Queens
104 St,40.681711,-73.837683,A,1736,Queens
110 St,40.79502,-73.94425,6,12162,Manhattan
111 St,40.697418,-73.836345,J,2605,Queens
111 St,40.75173,-73.855334,7,10914,Queens
111 St,40.684331,-73.832163,A,2718,Queens
116 St,40.798629,-73.941617,6,16675,Manhattan
116 St,40.805085,-73.954882,"B,C",6594,Manhattan
116 St,40.802098,-73.949625,"2,3",11508,Manhattan
116 St-Columbia University,40.807722,-73.96411,1,16363,Manhattan
121 St,40.700492,-73.828294,"J,Z",2222,Queens
125 St,40.811109,-73.952343,"A,B,C,D",27395,Manhattan
125 St,40.804138,-73.937594,"4,5,6",29425,Manhattan
125 St,40.807754,-73.945495,"2,3",15351,Manhattan
125 St,40.815581,-73.958372,1,7995,Manhattan
135 St,40.814229,-73.94077,"2,3",14690,Manhattan
135 St,40.807754,-73.945495,"2,3",14690,Manhattan
135 St,40.817894,-73.947649,"B,C",5592,Manhattan
137 St-City College,40.822008,-73.953676,1,14947,Manhattan
138 St-Grand Concourse,40.813224,-73.929849,"4,5",3222,Bronx
14 St/6 Av,40.737335,-73.996786,"F,M,L,1,2,3",49316,Manhattan
14 St/6 Av,40.738228,-73.996209,"F,M,L,1,2,3",49316,Manhattan
14 St/6 Av,40.737826,-74.000201,"F,M,L,1,2,3",49316,Manhattan
14 St/8 Av,40.739777,-74.002578,"A,C,E,L",108158,Manhattan
14 St/8 Av,40.740893,-74.00169,"A,C,E,L",108158,Manhattan
14 St-Union Sq,40.754672,-73.986754,"L,N,Q,R,4,5,6",42718,Manhattan
14 St-Union Sq,40.734673,-73.989951,"L,N,Q,R,4,5,6",42718,Manhattan
145 St,40.824783,-73.944216,"A,B,C,D",22879,Manhattan
145 St,40.820421,-73.936245,3,3426,Manhattan
145 St,40.826551,-73.95036,1,9931,Manhattan
149 St-Grand Concourse,40.818375,-73.927351,"2,4,5",14380,Bronx
15 St-Prospect Park,40.660365,-73.979493,"F,G",6448,Brooklyn
155 St,40.830518,-73.941514,C,2529,Manhattan
155 St,40.830135,-73.938209,"B,D",3948,Manhattan
157 St,40.834041,-73.94489,1,10677,Manhattan
161 St-Yankee Stadium,40.827905,-73.925651,"B,D,4",26972,Bronx
163 St - Amsterdam Av,40.836013,-73.939892,C,4080,Manhattan
167 St,40.833769,-73.918432,"B,D",9374,Bronx
167 St,40.835537,-73.9214,4,9904,Bronx
168 St,40.840556,-73.940133,"A,C,1",25041,Manhattan
169 St,40.71047,-73.793604,F,9042,Queens
170 St,40.839306,-73.9134,"B,D",6563,Bronx
170 St,40.840075,-73.917791,4,9525,Bronx
174 St,40.837288,-73.887734,"2,5",7339,Bronx
174-175 Sts,40.85,-73.910136,"B,D",4885,Bronx
175 St,40.847391,-73.939704,A,13309,Manhattan
176 St,40.84848,-73.911794,4,5905,Bronx
18 Av,40.607954,-74.001736,D,6162,Brooklyn
18 Av,40.629755,-73.976971,F,4204,Brooklyn
18 Av,40.620671,-73.990414,N,5092,Brooklyn
18 St,40.74104,-73.997871,1,8505,Manhattan
181 St,40.851695,-73.937969,A,10404,Manhattan
181 St,40.849505,-73.933596,1,11228,Manhattan
182-183 Sts,40.856093,-73.900741,"B,D",4554,Bronx
183 St,40.858407,-73.903879,4,6360,Bronx
190 St,40.859022,-73.93418,A,4546,Manhattan
191 St,40.855225,-73.929412,1,8258,Manhattan
2 Av,40.723402,-73.989938,F,17801,Manhattan
20 Av,40.61741,-73.985026,N,4190,Brooklyn
20 Av,40.604556,-73.998168,D,4859,Brooklyn
207 St,40.864614,-73.918819,1,6098,Manhattan
21 St,40.744065,-73.949724,G,1309,Queens
21 St-Queensbridge,40.754203,-73.942836,F,8761,Queens
215 St,40.869444,-73.915279,1,2078,Manhattan
219 St,40.883895,-73.862633,"2,5",3483,Bronx
225 St,40.888022,-73.860341,"2,5",4479,Bronx
