"","Sample","Sea","longitude","latitude","seaPred","longPred","latPred"
"1","ERS477998","Mediterranean.Sea",17.7252,42.1735,"Mediterranean.Sea",-18.8998966217041,15.492862701416
"2","ERS494394","North.Atlantic.Ocean",-49.9181,34.1132,"North.Atlantic.Ocean",-61.637866973877,37.3401184082031
"3","ERS494431","North.Atlantic.Ocean",-49.8233,34.0771,"North.Atlantic.Ocean",-68.8202972412109,26.6226406097412
"4","ERS491525","South.Pacific.Ocean",-101.1604,-29.7238,"South.Pacific.Ocean",-95.4995269775391,-8.53618335723877
"5","ERS492642","South.Pacific.Ocean",-139.1963,-8.9971,"South.Pacific.Ocean",-121.992225646973,-7.10600852966309
"6","ERS493340","North.Pacific.Ocean",-159.046,31.5168,"North.Atlantic.Ocean",-82.6792907714844,20.7343463897705
"7","ERS494628","North.Atlantic.Ocean",-16.9047,43.7684,"North.Atlantic.Ocean",-39.8741836547852,20.7167129516602
"8","ERS489877","Mozambique.Channel",40.3412,-22.3368,"Mozambique.Channel",4.86107832196905,6.0261957869668
"9","ERS492264","South.Pacific.Ocean",-84.6265,-1.9002,"South.Pacific.Ocean",-92.0012130737305,-3.76556468009949
"10","ERS493752","North.Pacific.Ocean",-102.9432,6.3332,"North.Pacific.Ocean",-112.75537109375,-0.334402054548264
"11","ERS490885","South.Atlantic.Ocean",-58.2902,-47.1863,"South.Atlantic.Ocean",-34.347038269043,-42.8164215087891
"12","ERS491492","South.Pacific.Ocean",-87.0693,-32.7971,"South.Pacific.Ocean",-96.4601745605469,6.64167451858521
"13","ERS494579","North.Atlantic.Ocean",-16.8344,43.6792,"North.Atlantic.Ocean",-44.8394317626953,7.41803169250488
"14","ERS488830","Arabian.Sea",64.5126,19.0284,"Arabian.Sea",58.1739044189453,8.81701755523682
"15","ERS488545","Red.Sea",34.8,27.1433,"Red.Sea",44.3326741880126,1.39123322184417
"16","ERS490085","INDIAN.OCEAN",26.3048,-35.2421,"INDIAN.OCEAN",-52.6641184149147,-1.55199797933959
"17","ERS492145","North.Pacific.Ocean",-84.5766,1.9928,"South.Pacific.Ocean",-97.8011245727539,1.94031155109406
"18","ERS492888","South.Pacific.Ocean",-142.5571,-8.9111,"South.Pacific.Ocean",-117.33814239502,5.43564081192017
"19","ERS490928","South.Atlantic.Ocean",-57.9446,-47.2007,"South.Atlantic.Ocean",-29.741096496582,-42.6061172485352
"20","ERS490230","South.Atlantic.Ocean",4.6685,-31.0198,"South.Atlantic.Ocean",-52.6641184149147,-1.55199797933959
"21","ERS489087","INDIAN.OCEAN",73.8955,6.0001,"INDIAN.OCEAN",55.8382720947266,15.3581962585449
"22","ERS488916","Arabian.Sea",66.4727,18.5839,"Red.Sea",52.5813179868736,16.4703644881804
"23","ERS492814","South.Pacific.Ocean",-140.5216,-9.1504,"South.Pacific.Ocean",-116.241241455078,-6.53357887268066
"24","ERS492778","South.Pacific.Ocean",-140.2845,-8.9109,"South.Pacific.Ocean",-109.526649475098,-12.9192276000977
"25","ERS490124","South.Atlantic.Ocean",17.9189,-34.9449,"North.Atlantic.Ocean",-55.3094367980957,14.2029085159302
"26","ERS491044","South.Atlantic.Ocean",-49.529,-62.0385,"South.Atlantic.Ocean",-9.13261699676514,-48.0927963256836
"27","ERS493431","North.Pacific.Ocean",-127.7499,35.4002,"North.Pacific.Ocean",-66.5062408447266,13.2132062911987
"28","ERS494616","North.Atlantic.Ocean",-16.8714,43.7182,"South.Pacific.Ocean",-79.7299340481609,-2.57911874757289
"29","ERS492357","South.Pacific.Ocean",-100.6751,-16.9587,"South.Pacific.Ocean",-137.898803710938,-6.25146341323853
