"","Overall","taxa"
"Chroococcidiopsis.thermalis",0.0230621005995295,"Chroococcidiopsis.thermalis"
"Weissella.koreensis",0.020760474160802,"Weissella.koreensis"
"Arthrobacter.sp..ERGS1.01",0.015639269432968,"Arthrobacter.sp..ERGS1.01"
"Nocardia.seriolae",0.0153268220007064,"Nocardia.seriolae"
"Glutamicibacter.arilaitensis",0.0151867732552301,"Glutamicibacter.arilaitensis"
"Gordonia.sp..KTR9",0.0130066781011433,"Gordonia.sp..KTR9"
"Methylobacterium.sp..C1",0.0116437619400107,"Methylobacterium.sp..C1"
"Psychrobacter.sp..G",0.009501406929139,"Psychrobacter.sp..G"
"Planococcus.maritimus",0.00931309553316353,"Planococcus.maritimus"
"Arthrobacter.crystallopoietes",0.00922452982467559,"Arthrobacter.crystallopoietes"
"Variovorax.sp..PAMC.28711",0.00913780367047009,"Variovorax.sp..PAMC.28711"
"Bartonella.clarridgeiae",0.0091310163435874,"Bartonella.clarridgeiae"
"Arthrobacter.sp..U41",0.00912666057985029,"Arthrobacter.sp..U41"
"Stanieria.sp..NIES.3757",0.00880192612170623,"Stanieria.sp..NIES.3757"
"Psychrobacter.cryohalolentis",0.0087243174477842,"Psychrobacter.cryohalolentis"
"Arthrobacter.sp..ZXY.2",0.00833130022551744,"Arthrobacter.sp..ZXY.2"
"Psychrobacter.sp..DAB_AL43B",0.00819203560236663,"Psychrobacter.sp..DAB_AL43B"
"Neomicrococcus.aestuarii",0.00764409159485068,"Neomicrococcus.aestuarii"
"Polaromonas.sp..JS666",0.00755065671909255,"Polaromonas.sp..JS666"
"Microcystis.aeruginosa",0.00730861097394826,"Microcystis.aeruginosa"
"Psychrobacter.sp..P2G3",0.00703885933510932,"Psychrobacter.sp..P2G3"
"Rhodococcus.sp..MTM3W5.2",0.0069083877290347,"Rhodococcus.sp..MTM3W5.2"
"Paenibacillus.crassostreae",0.00684244081824955,"Paenibacillus.crassostreae"
"Planococcus.antarcticus",0.00621691399373067,"Planococcus.antarcticus"
"Arthrobacter.sp..FB24",0.00596091028324401,"Arthrobacter.sp..FB24"
"Nostoc.sp..CENA543",0.00590408771229402,"Nostoc.sp..CENA543"
"Nostoc.sp..PCC.7524",0.00581507765014177,"Nostoc.sp..PCC.7524"
