"","Overall","taxa"
"Bradyrhizobium.sp..BTAi1",0.0464791575659995,"Bradyrhizobium.sp..BTAi1"
"Cupriavidus.metallidurans",0.0415668726060509,"Cupriavidus.metallidurans"
"Bacillus.subtilis",0.0325113816631682,"Bacillus.subtilis"
"Enterococcus.faecalis",0.02645155585826,"Enterococcus.faecalis"
"Bradyrhizobium.sp..SK17",0.0229277305074878,"Bradyrhizobium.sp..SK17"
"Listeria.monocytogenes",0.0194094911020122,"Listeria.monocytogenes"
"Carnobacterium.inhibens",0.0193889230994615,"Carnobacterium.inhibens"
"Salmonella.enterica",0.0188388834239035,"Salmonella.enterica"
"Bradyrhizobium.sp..S23321",0.0172469127445226,"Bradyrhizobium.sp..S23321"
"Ralstonia.pickettii",0.0169939253124577,"Ralstonia.pickettii"
"Gordonia.bronchialis",0.0168481925022829,"Gordonia.bronchialis"
"Pseudomonas.stutzeri",0.0161032918108204,"Pseudomonas.stutzeri"
"Pseudomonas.fluorescens",0.0156614401097197,"Pseudomonas.fluorescens"
"Deinococcus.swuensis",0.0146700402869031,"Deinococcus.swuensis"
"Microlunatus.phosphovorus",0.0144882071876498,"Microlunatus.phosphovorus"
"Bradyrhizobium.diazoefficiens",0.0143581614381803,"Bradyrhizobium.diazoefficiens"
"Pantoea.sp..PSNIH1",0.0143538617331409,"Pantoea.sp..PSNIH1"
"Leuconostoc.mesenteroides",0.0142679970586331,"Leuconostoc.mesenteroides"
"Streptococcus.oralis",0.0138301177303334,"Streptococcus.oralis"
"Gordonia.terrae",0.0130650672639863,"Gordonia.terrae"
"Streptococcus.mitis",0.0130043785955986,"Streptococcus.mitis"
"Gordonia.sp..KTR9",0.0128623999960549,"Gordonia.sp..KTR9"
"Pantoea.agglomerans",0.0127454352621412,"Pantoea.agglomerans"
"Lactobacillus.fermentum",0.012720221120978,"Lactobacillus.fermentum"
"Janibacter.indicus",0.0126154211322027,"Janibacter.indicus"
"Lactobacillus.delbrueckii",0.012487554703707,"Lactobacillus.delbrueckii"
"Dermacoccus.nishinomiyaensis",0.0119018478283263,"Dermacoccus.nishinomiyaensis"
