"","Overall","taxa"
"Corynebacterium.ureicelerivorans",0.0026506298559476,"Corynebacterium.ureicelerivorans"
"Staphylococcus.capitis",0.00241769719984918,"Staphylococcus.capitis"
"Propionibacterium.sp..oral.taxon.193",0.00226195094175619,"Propionibacterium.sp..oral.taxon.193"
"Dermacoccus.nishinomiyaensis",0.00205926116608309,"Dermacoccus.nishinomiyaensis"
"Paracoccus.yeei",0.00187958452732792,"Paracoccus.yeei"
"Sugiyamaella.lignohabitans",0.00153040279329514,"Sugiyamaella.lignohabitans"
"Corynebacterium.simulans",0.00151690084553357,"Corynebacterium.simulans"
"Corynebacterium.singulare",0.00146277063730884,"Corynebacterium.singulare"
"Methylobacterium.extorquens",0.00143505965088884,"Methylobacterium.extorquens"
"Corynebacterium.kroppenstedtii",0.00140593107159502,"Corynebacterium.kroppenstedtii"
"Enterococcus.faecalis",0.00140410465860812,"Enterococcus.faecalis"
"Theileria.orientalis",0.00137062357847551,"Theileria.orientalis"
"Pseudomonas.pseudoalcaligenes",0.00136079057166601,"Pseudomonas.pseudoalcaligenes"
"Hymenobacter.sp..PAMC.26628",0.00134963721403065,"Hymenobacter.sp..PAMC.26628"
"Cutibacterium.avidum",0.00130647782450999,"Cutibacterium.avidum"
"Lactobacillus.fermentum",0.00129523406803693,"Lactobacillus.fermentum"
"Bacillus.subtilis",0.00127254331155308,"Bacillus.subtilis"
"Moraxella.osloensis",0.0011487557146175,"Moraxella.osloensis"
"Hymenobacter.sedentarius",0.00114321691407724,"Hymenobacter.sedentarius"
"Corynebacterium.jeikeium",0.00111742247800044,"Corynebacterium.jeikeium"
"Corynebacterium.aurimucosum",0.00110392335889374,"Corynebacterium.aurimucosum"
"Gardnerella.vaginalis",0.00110050473449097,"Gardnerella.vaginalis"
"Candida.dubliniensis",0.00107424997433939,"Candida.dubliniensis"
"Kluyveromyces.lactis",0.00106825523129765,"Kluyveromyces.lactis"
"Staphylococcus.aureus",0.00105200461604274,"Staphylococcus.aureus"
"Staphylococcus.haemolyticus",0.00102888906520861,"Staphylococcus.haemolyticus"
"Pseudomonas.syringae",0.00101315555609794,"Pseudomonas.syringae"
"Methylobacterium.aquaticum",0.000992670260582818,"Methylobacterium.aquaticum"
"Listeria.monocytogenes",0.000975680472836593,"Listeria.monocytogenes"
"Acinetobacter.schindleri",0.000959486346520017,"Acinetobacter.schindleri"
"Corynebacterium.striatum",0.000958887630010471,"Corynebacterium.striatum"
"Roseomonas.sp..FDAARGOS_362",0.000946256886792922,"Roseomonas.sp..FDAARGOS_362"
"Acinetobacter.johnsonii",0.000892204987267242,"Acinetobacter.johnsonii"
"Variovorax.paradoxus",0.000848806705888476,"Variovorax.paradoxus"
"Brachybacterium.sp..VR2415",0.000844046549820349,"Brachybacterium.sp..VR2415"
"Pseudomonas.aeruginosa",0.000833663685027488,"Pseudomonas.aeruginosa"
"Escherichia.coli",0.000780345167958251,"Escherichia.coli"
"Kocuria.palustris",0.000771815976984459,"Kocuria.palustris"
"Finegoldia.magna",0.000756652978244925,"Finegoldia.magna"
"X.Polyangium..brachysporum",0.000747491055656293,"X.Polyangium..brachysporum"
"Staphylococcus.pasteuri",0.000736964605994747,"Staphylococcus.pasteuri"
"Modestobacter.marinus",0.000734874814197825,"Modestobacter.marinus"
"Deinococcus.swuensis",0.000719517659592239,"Deinococcus.swuensis"
"Lysinibacillus.fusiformis",0.000701997628129869,"Lysinibacillus.fusiformis"
"Spirosoma.sp..HA7",0.000680419133532741,"Spirosoma.sp..HA7"
"Deinococcus.puniceus",0.000679304492489252,"Deinococcus.puniceus"
"Sphingomonas.sanxanigenens",0.000662710999924552,"Sphingomonas.sanxanigenens"
"Pseudonocardia.sp..AL041005.10",0.000660416346655145,"Pseudonocardia.sp..AL041005.10"
"Frankia.inefficax",0.000657827670925595,"Frankia.inefficax"
"Corynebacterium.flavescens",0.000631986251861273,"Corynebacterium.flavescens"
"Rhizobacter.gummiphilus",0.000629660494609486,"Rhizobacter.gummiphilus"
"Bradyrhizobium.sp..BTAi1",0.000622337048867063,"Bradyrhizobium.sp..BTAi1"
"Hymenobacter.sp..PAMC.26554",0.00060144539981857,"Hymenobacter.sp..PAMC.26554"
"Cutibacterium.acnes",0.000590683581483767,"Cutibacterium.acnes"
"Saccharomyces.cerevisiae",0.000589114338761384,"Saccharomyces.cerevisiae"
"Delftia.sp..Cs1.4",0.000585180364975059,"Delftia.sp..Cs1.4"
"Amycolatopsis.sp..AA4",0.00058048268477156,"Amycolatopsis.sp..AA4"
