"","Overall","taxa"
"Cupriavidus.metallidurans",0.00917378800647202,"Cupriavidus.metallidurans"
"Immundisolibacter.cernigliae",0.00767473796875534,"Immundisolibacter.cernigliae"
"Halomonas.sp..KO116",0.00571615319443665,"Halomonas.sp..KO116"
"Nocardiopsis.dassonvillei",0.00505385058405873,"Nocardiopsis.dassonvillei"
"Bradyrhizobium.sp..BTAi1",0.00423318415980335,"Bradyrhizobium.sp..BTAi1"
"Pseudomonas.alcaligenes",0.00416648468638968,"Pseudomonas.alcaligenes"
"Pseudonocardia.sp..HH130629.09",0.0036812764435784,"Pseudonocardia.sp..HH130629.09"
"Dietzia.timorensis",0.00363657202039342,"Dietzia.timorensis"
"Croceicoccus.naphthovorans",0.00356636297274169,"Croceicoccus.naphthovorans"
"Pseudonocardia.sp..AL041005.10",0.00348800391181072,"Pseudonocardia.sp..AL041005.10"
"Leuconostoc.citreum",0.00339938405878635,"Leuconostoc.citreum"
"Comamonadaceae.bacterium.A1",0.00330723548320551,"Comamonadaceae.bacterium.A1"
"Methylophilus.sp..TWE2",0.00324314020456446,"Methylophilus.sp..TWE2"
"Halobacterium.hubeiense",0.00323920919229833,"Halobacterium.hubeiense"
"Mycobacterium.gilvum",0.00320994686041407,"Mycobacterium.gilvum"
"Croceicoccus.marinus",0.00320549494615644,"Croceicoccus.marinus"
"Actinomyces.radicidentis",0.00316743242310283,"Actinomyces.radicidentis"
"Pseudomonas.alcaliphila",0.00311163390400981,"Pseudomonas.alcaliphila"
"Methylobacterium.radiotolerans",0.00305816499352936,"Methylobacterium.radiotolerans"
"Bradyrhizobium.sp..SK17",0.00303721892070012,"Bradyrhizobium.sp..SK17"
"Corynebacterium.kroppenstedtii",0.00288548221008286,"Corynebacterium.kroppenstedtii"
"Psychrobacter.sp..P11G5",0.00285745754485099,"Psychrobacter.sp..P11G5"
"Pseudomonas.fluorescens",0.00280611112845445,"Pseudomonas.fluorescens"
"Staphylococcus.aureus",0.00272167409669578,"Staphylococcus.aureus"
"Macrococcus.sp..IME1552",0.00269371312526222,"Macrococcus.sp..IME1552"
"Caulobacter.segnis",0.00265854850471187,"Caulobacter.segnis"
"Acidovorax.avenae",0.00258642341721835,"Acidovorax.avenae"
"Bradyrhizobium.japonicum",0.00253452670233796,"Bradyrhizobium.japonicum"
"Bradyrhizobium.sp..CCGE.LA001",0.00251803797842102,"Bradyrhizobium.sp..CCGE.LA001"
"Ralstonia.insidiosa",0.00242269603271167,"Ralstonia.insidiosa"
"Staphylococcus.haemolyticus",0.00240929582884938,"Staphylococcus.haemolyticus"
"Bradyrhizobium.diazoefficiens",0.00240287847441622,"Bradyrhizobium.diazoefficiens"
"Rhodovulum.sp..P5",0.00239327699252658,"Rhodovulum.sp..P5"
"Lactobacillus.plantarum",0.00235170256263297,"Lactobacillus.plantarum"
"Deinococcus.proteolyticus",0.00229881302729202,"Deinococcus.proteolyticus"
"Pseudomonas.mosselii",0.00225368157798489,"Pseudomonas.mosselii"
"Sagittula.sp..P11",0.0022238650828731,"Sagittula.sp..P11"
"Acinetobacter.sp..LoGeW2.3",0.00219647928685157,"Acinetobacter.sp..LoGeW2.3"
"Bradyrhizobium.sp..S23321",0.00219259232533835,"Bradyrhizobium.sp..S23321"
"Acinetobacter.johnsonii",0.0021276464957913,"Acinetobacter.johnsonii"
"Sphingomonas.melonis",0.00209327795571937,"Sphingomonas.melonis"
"Tessaracoccus.sp..T2.5.30",0.00207579284669632,"Tessaracoccus.sp..T2.5.30"
"Pseudomonas.sp..LPH1",0.00200393023186761,"Pseudomonas.sp..LPH1"
"Acidovorax.sp..KKS102",0.00199162244107014,"Acidovorax.sp..KKS102"
"Rhodobacter.capsulatus",0.00197682524995158,"Rhodobacter.capsulatus"
"Blautia.hansenii",0.00195733973725791,"Blautia.hansenii"
"Roseovarius.mucosus",0.00192908129543612,"Roseovarius.mucosus"
"Pseudomonas.antarctica",0.00190375506145522,"Pseudomonas.antarctica"
"Actinomyces.oris",0.0018267568725972,"Actinomyces.oris"
"Weissella.paramesenteroides",0.00180909591824243,"Weissella.paramesenteroides"
"Methylobacterium.sp..C1",0.00178676319710116,"Methylobacterium.sp..C1"
"Psychrobacter.sp..G",0.00174650580924501,"Psychrobacter.sp..G"
"Brachybacterium.faecium",0.00172847619503727,"Brachybacterium.faecium"
"Rhodospirillum.rubrum",0.00172795942268742,"Rhodospirillum.rubrum"
"Kytococcus.sedentarius",0.00172782143115571,"Kytococcus.sedentarius"
"Corynebacterium.flavescens",0.00168958439663948,"Corynebacterium.flavescens"
"Bordetella.petrii",0.00168320937614937,"Bordetella.petrii"
"Lactobacillus.johnsonii",0.00167978268282952,"Lactobacillus.johnsonii"
"Weissella.cibaria",0.00167167853890095,"Weissella.cibaria"
"Pseudomonas.pseudoalcaligenes",0.00165901431593065,"Pseudomonas.pseudoalcaligenes"
"Sphingobium.sp..SYK.6",0.00165159726047549,"Sphingobium.sp..SYK.6"
"Halomonas.hydrothermalis",0.00163601070808987,"Halomonas.hydrothermalis"
"Chryseobacterium.taklimakanense",0.00155240199936127,"Chryseobacterium.taklimakanense"
"Dermacoccus.nishinomiyaensis",0.00154109146282316,"Dermacoccus.nishinomiyaensis"
"Erwinia.gerundensis",0.00152448841829303,"Erwinia.gerundensis"
"Corynebacterium.glaucum",0.00152041035135641,"Corynebacterium.glaucum"
"Deinococcus.gobiensis",0.00149205755995561,"Deinococcus.gobiensis"
"Pseudonocardia.sp..HH130630.07",0.00145783170803556,"Pseudonocardia.sp..HH130630.07"
"Caulobacter.vibrioides",0.00145550555327934,"Caulobacter.vibrioides"
"Haloterrigena.daqingensis",0.00144213909157072,"Haloterrigena.daqingensis"
"Halomonas.sp..1513",0.00143879084908637,"Halomonas.sp..1513"
"Lactobacillus.farciminis",0.00141131289148152,"Lactobacillus.farciminis"
"Marinobacter.hydrocarbonoclasticus",0.0013409590197879,"Marinobacter.hydrocarbonoclasticus"
"Advenella.mimigardefordensis",0.00134028722548125,"Advenella.mimigardefordensis"
"Lactobacillus.parabuchneri",0.00124315250383697,"Lactobacillus.parabuchneri"
"Halomonas.aestuarii",0.0012176875076105,"Halomonas.aestuarii"
"Corynebacterium.callunae",0.00121640531536143,"Corynebacterium.callunae"
"Moraxella.osloensis",0.00118013034992833,"Moraxella.osloensis"
"Sphingomonas.sp..LK11",0.00116558607106004,"Sphingomonas.sp..LK11"
"Exiguobacterium.sp..AT1b",0.00113762675993742,"Exiguobacterium.sp..AT1b"
"Acidovorax.citrulli",0.0010891313691864,"Acidovorax.citrulli"
"Erythrobacter.litoralis",0.00101648024769245,"Erythrobacter.litoralis"
"Salinicoccus.halodurans",0.0010031954815274,"Salinicoccus.halodurans"
"Achromobacter.sp..AONIH1",0.000871688720721772,"Achromobacter.sp..AONIH1"
"Streptococcus.parauberis",0.000862896584014711,"Streptococcus.parauberis"
"Pseudomonas.azotoformans",0.000851885853006652,"Pseudomonas.azotoformans"
"Archangium.gephyra",0.000826333034222787,"Archangium.gephyra"
"Lactobacillus.delbrueckii",0.000786735564829743,"Lactobacillus.delbrueckii"
"Pediococcus.pentosaceus",0.000777297601117836,"Pediococcus.pentosaceus"
"Novosphingobium.pentaromativorans",0.000735649558790064,"Novosphingobium.pentaromativorans"
"Corynebacterium.jeikeium",0.000650491920294731,"Corynebacterium.jeikeium"
"Brachybacterium.ginsengisoli",0.000630314126252568,"Brachybacterium.ginsengisoli"
"Mycobacterium.aurum",0.000482433217902439,"Mycobacterium.aurum"
"Saccharothrix.espanaensis",0.000481852738665289,"Saccharothrix.espanaensis"
"Corynebacterium.frankenforstense",0.000447617747313341,"Corynebacterium.frankenforstense"
"Sanguibacter.keddieii",0.000294868234159477,"Sanguibacter.keddieii"
"Methylovulum.psychrotolerans",0.000274079234443664,"Methylovulum.psychrotolerans"
"Gemmata.sp..SH.PL17",0.000132180298836268,"Gemmata.sp..SH.PL17"
"Propionibacterium.virus.PHL111M01",-0.000159942486674111,"Propionibacterium.virus.PHL111M01"
"Lelliottia.amnigena",-0.000235986925078762,"Lelliottia.amnigena"
