"","Overall","taxa"
"OTU_371",0.0239545541672123,"OTU_371"
"OTU_727",0.0179563713414074,"OTU_727"
"OTU_75",0.016122683381866,"OTU_75"
"OTU_2106",0.0149733726930342,"OTU_2106"
"OTU_132",0.0148937525738031,"OTU_132"
"OTU_496",0.0143297514363382,"OTU_496"
"OTU_249",0.0123911001779541,"OTU_249"
"OTU_6462",0.0121486713402125,"OTU_6462"
"OTU_701",0.0110915029662731,"OTU_701"
"OTU_7081",0.00973578096862291,"OTU_7081"
"OTU_254",0.00965160216164494,"OTU_254"
"OTU_93",0.00961057355467348,"OTU_93"
"OTU_11827",0.008899764656246,"OTU_11827"
"OTU_323",0.0088272301282516,"OTU_323"
"OTU_338",0.00867903317694396,"OTU_338"
"OTU_397",0.00826388006608766,"OTU_397"
"OTU_349",0.00783161861649833,"OTU_349"
"OTU_71",0.00728336183467609,"OTU_71"
"OTU_5357",0.00726516334672842,"OTU_5357"
"OTU_5482",0.00702695907315348,"OTU_5482"
"OTU_70",0.00686623002998917,"OTU_70"
"OTU_21850",0.00669909477898798,"OTU_21850"
"OTU_640",0.00657651633565007,"OTU_640"
"OTU_42608",0.00651504859460902,"OTU_42608"
"OTU_14779",0.00593899166044516,"OTU_14779"
"OTU_531",0.00573727160081259,"OTU_531"
"OTU_217",0.00561335273802978,"OTU_217"
"OTU_391",0.00557377230900536,"OTU_391"
"OTU_56",0.00553823610633365,"OTU_56"
"OTU_255",0.0053814796815061,"OTU_255"
"OTU_2065",0.00527171943470765,"OTU_2065"
"OTU_198",0.00522098519771497,"OTU_198"
"OTU_5921",0.00515562272397153,"OTU_5921"
"OTU_74",0.00494438736063747,"OTU_74"
"OTU_340",0.00484263317806946,"OTU_340"
"OTU_682",0.00475312894565156,"OTU_682"
"OTU_810",0.0046717649068473,"OTU_810"
"OTU_243",0.00448782656664696,"OTU_243"
"OTU_7213",0.00448388399082975,"OTU_7213"
"OTU_2592",0.00432879170640625,"OTU_2592"
"OTU_5857",0.00432274264200483,"OTU_5857"
"OTU_22324",0.00421050862013712,"OTU_22324"
